node,row_idx,L_i_r_db,level_bin_idx,is_clean_row
Node2-Bogota,93,-20.387278627205056,4,True
Node2-Bogota,94,-20.704263199844696,3,True
Node2-Bogota,95,-20.135055457611113,5,True
Node2-Bogota,96,-20.720006998383006,3,True
Node2-Bogota,97,-21.03747073133376,1,True
Node2-Bogota,98,-19.052618485170527,6,True
Node2-Bogota,99,-20.473849556743737,4,True
Node2-Bogota,100,-21.021573871752146,1,True
Node2-Bogota,101,-20.917518315831074,1,True
Node2-Bogota,102,-20.76998187922957,2,True
Node2-Bogota,103,-20.464880301677475,4,True
Node2-Bogota,104,-20.29719496380273,5,True
Node3-Bogota,0,-20.09370594947353,2,True
Node3-Bogota,1,-20.351370055700478,0,True
Node3-Bogota,2,-20.069344108108773,3,True
Node3-Bogota,3,-19.580919426715003,6,True
Node3-Bogota,4,-19.442826535153543,6,True
Node3-Bogota,5,-19.82154964128686,5,True
Node3-Bogota,6,-19.734729687550825,5,True
Node3-Bogota,7,-19.75036281495576,5,True
Node3-Bogota,8,-19.548726876923077,6,True
Node3-Bogota,9,-19.735235239005917,5,True
Node3-Bogota,10,-19.79971091022565,5,True
Node3-Bogota,11,-18.739324686577653,6,True
Node3-Bogota,12,-18.89629917983701,6,True
Node3-Bogota,13,-19.92366361835161,4,True
Node3-Bogota,14,-20.039526472522446,3,True
Node3-Bogota,15,-19.99277410123728,4,True
Node3-Bogota,16,-19.71597477504247,5,True
Node3-Bogota,17,-19.680636064006848,5,True
Node3-Bogota,18,-19.97990786113209,4,True
Node3-Bogota,19,-19.256258909875203,6,True
Node3-Bogota,20,-19.759552151854074,5,True
Node3-Bogota,21,-19.605998529645603,6,True
Node3-Bogota,22,-20.03671572737411,3,True
Node3-Bogota,23,-20.051378194336593,3,True
Node3-Bogota,24,-20.034152433664644,3,True
Node3-Bogota,25,-19.93700532180769,4,True
Node3-Bogota,26,-19.8502554524651,4,True
Node3-Bogota,27,-19.473994717345654,6,True
Node3-Bogota,28,-20.089743749750802,2,True
Node3-Bogota,29,-20.13324146865292,1,True
Node3-Bogota,30,-19.397930955621575,6,True
Node3-Bogota,31,-19.751358191904465,5,True
Node3-Bogota,32,-19.786218644631475,5,True
Node3-Bogota,33,-20.074458024277767,2,True
Node3-Bogota,34,-19.927225037454583,4,True
Node3-Bogota,35,-19.723915136182924,5,True
Node3-Bogota,36,-19.844047156418174,4,True
Node3-Bogota,37,-20.020653398276337,3,True
Node3-Bogota,38,-20.105972693959814,2,True
Node3-Bogota,39,-19.345627901486154,6,True
Node3-Bogota,40,-20.100548174882658,2,True
Node3-Bogota,41,-20.12400472411537,1,True
