node,row_idx,is_train,is_test,is_clean,L_i_r_db,state_idx,A_hat_r_db
Node10-Bogota,72,False,True,True,-22.257734298706055,0,0.41075581358384716
Node10-Bogota,73,False,True,False,-21.171435356140137,0,0.41075581358384716
Node10-Bogota,74,False,True,True,-21.273412704467773,0,0.41075581358384716
Node10-Bogota,75,False,True,True,-20.413257598876953,2,0.13794008890787762
Node10-Bogota,76,False,True,True,-20.78641700744629,0,0.41075581358384716
Node10-Bogota,77,False,True,True,-20.32184886932373,3,0.09714866608612296
Node10-Bogota,78,False,True,True,-20.021879196166992,4,-0.25697137034216594
Node10-Bogota,79,False,True,True,-19.99428653717041,4,-0.25697137034216594
Node10-Bogota,80,False,True,True,-20.27365207672119,3,0.09714866608612296
Node10-Bogota,81,False,True,True,-20.45005702972412,2,0.13794008890787762
Node10-Bogota,82,False,True,True,-20.133599281311035,4,-0.25697137034216594
Node10-Bogota,83,False,True,True,-20.546276092529297,1,0.031058584996896205
Node10-Bogota,84,False,True,True,-20.215750694274902,3,0.09714866608612296
Node10-Bogota,85,False,True,True,-20.768478393554688,0,0.41075581358384716
Node10-Bogota,86,False,True,True,-20.61182403564453,1,0.031058584996896205
Node10-Bogota,87,False,True,True,-20.97174644470215,0,0.41075581358384716
Node10-Bogota,88,False,True,True,-20.433963775634766,2,0.13794008890787762
Node10-Bogota,89,False,True,True,-20.54471206665039,1,0.031058584996896205
Node10-Bogota,90,False,True,True,-20.459134101867676,2,0.13794008890787762
Node10-Bogota,91,False,True,True,-21.520995140075684,0,0.41075581358384716
Node10-Bogota,92,False,True,True,-20.825986862182617,0,0.41075581358384716
Node10-Bogota,93,False,True,True,-20.522496223449707,1,0.031058584996896205
Node10-Bogota,94,False,True,True,-20.146431922912598,4,-0.25697137034216594
Node10-Bogota,95,False,True,True,-20.46907901763916,2,0.13794008890787762
Node10-Bogota,96,False,True,True,-20.748401641845703,0,0.41075581358384716
Node10-Bogota,97,False,True,True,-20.81956386566162,0,0.41075581358384716
Node10-Bogota,98,False,True,True,-21.42623519897461,0,0.41075581358384716
Node10-Bogota,99,False,True,True,-20.42785930633545,2,0.13794008890787762
Node10-Bogota,100,False,True,True,-21.025137901306152,0,0.41075581358384716
Node10-Bogota,101,False,True,True,-20.271183967590332,3,0.09714866608612296
Node10-Bogota,102,False,True,True,-20.56791591644287,1,0.031058584996896205
Node10-Bogota,103,False,True,True,-20.16680908203125,4,-0.25697137034216594
Node2-Bogota,0,True,False,True,-20.73792839050293,2,0.2253384608630986
Node2-Bogota,1,True,False,True,-22.264535903930664,0,0.10935112210207208
Node2-Bogota,2,True,False,True,-20.631742477416992,2,0.2253384608630986
Node2-Bogota,3,True,False,True,-19.902531623840332,4,-0.2225930700006411
Node2-Bogota,4,True,False,True,-17.78686809539795,5,-0.24242407868998922
Node2-Bogota,5,True,False,True,-20.763395309448242,2,0.2253384608630986
Node2-Bogota,6,True,False,True,-20.542866706848145,3,0.10615283481834471
Node2-Bogota,7,True,False,True,-20.804308891296387,1,0.04716406358304874
Node2-Bogota,8,True,False,True,-19.98229217529297,4,-0.2225930700006411
Node2-Bogota,9,True,False,True,-20.95466709136963,1,0.04716406358304874
Node2-Bogota,10,True,False,True,-20.75294780731201,2,0.2253384608630986
Node2-Bogota,11,True,False,True,-18.47575855255127,5,-0.24242407868998922
Node2-Bogota,12,True,False,True,-17.61924457550049,5,-0.24242407868998922
Node2-Bogota,13,True,False,True,-20.84408187866211,1,0.04716406358304874
Node2-Bogota,14,True,False,True,-21.16865348815918,0,0.10935112210207208
Node2-Bogota,15,True,False,True,-21.302440643310547,0,0.10935112210207208
Node2-Bogota,16,True,False,True,-20.979276657104492,1,0.04716406358304874
Node2-Bogota,17,True,False,True,-20.207414627075195,4,-0.2225930700006411
Node2-Bogota,18,True,False,True,-20.74613380432129,2,0.2253384608630986
Node2-Bogota,19,True,False,True,-17.741150856018066,5,-0.24242407868998922
Node2-Bogota,20,True,False,True,-20.427870750427246,3,0.10615283481834471
Node2-Bogota,21,True,False,True,-20.265859603881836,3,0.10615283481834471
Node2-Bogota,22,True,False,True,-21.534908294677734,0,0.10935112210207208
Node2-Bogota,23,True,False,True,-21.817657470703125,0,0.10935112210207208
Node2-Bogota,24,True,False,True,-21.052087783813477,1,0.04716406358304874
Node2-Bogota,25,True,False,True,-20.17090129852295,4,-0.2225930700006411
Node2-Bogota,26,True,False,True,-20.538297653198242,3,0.10615283481834471
Node2-Bogota,27,True,False,True,-20.343361854553223,3,0.10615283481834471
